id;name_en;name_de_auto;name_de_final;konfidenz;rang;muskel;geraet
# Anleitung;Spalte name_de_final ausfuellen;= eintragen wenn der englische Name bleiben soll (Dips, Curl, Hip Thrust, Face Pull ...);;;;;
og-0007;Alternate Lateral Pulldown;alternierend Lateral Latzug;;mittel;5;back;cable
og-0015;Assisted Parallel Close Grip Pull-Up;Unterstützt Parallel Enger Griff Klimmzug;;mittel;5;back;machine
og-3017;Barbell Pendlay Row;Langhantel Pendlay Rudern;;niedrig;5;back;barbell
og-1317;Barbell Reverse Grip Incline Bench Row;Langhantel Untergriff Schrägbank Bench Rudern;;mittel;5;back;barbell
og-0150;Cable Bar Lateral Pulldown;Kabelzug Bar Lateral Latzug;;niedrig;5;back;cable
og-0153;Cable Cross-Over Lateral Pulldown;Kabelzug Cross-over Lateral Latzug;;niedrig;5;back;cable
og-0160;Cable Floor Seated Wide-Grip Row;Kabelzug Floor sitzend Weiter Griff Rudern;;mittel;5;back;cable
og-0167;Cable High Row (Kneeling);Kabelzug High Rudern ( Kniend);;mittel;5;back;cable
og-1318;Cable Incline Bench Row;Kabelzug Schrägbank Bench Rudern;;mittel;5;back;cable
og-2330;Cable Lat Pulldown Full Range Of Motion;Kabelzug Latzug Full Range Of Motion;;niedrig;5;back;cable
og-0177;Cable Lateral Pulldown (With Rope Attachment);Kabelzug Lateral Latzug ( mit Rope Attachment);;niedrig;5;back;cable
og-2616;Cable Lateral Pulldown With V-Bar;Kabelzug Lateral Latzug mit V-bar;;mittel;5;back;cable
og-0180;Cable Low Seated Row;Kabelzug Low sitzend Rudern;;mittel;5;back;cable
og-0193;Cable One Arm Straight Back High Row (Kneeling);Kabelzug einarmig Straight Back High Rudern ( Kniend);;niedrig;5;back;cable
og-1319;Cable Palm Rotational Row;Kabelzug Palm Rotational Rudern;;niedrig;5;back;cable
og-0197;Cable Pulldown (Pro Lat Bar);Kabelzug Latzug (pro Lat Bar);;niedrig;5;back;cable
og-0199;Cable Pushdown (Straight Arm) V. 2;Kabelzug Trizepsdrücken (straight Arm) V. 2;;niedrig;5;back;cable
og-0205;Cable Rear Pulldown;Kabelzug Rear Latzug;;mittel;5;back;cable
og-0208;Cable Reverse-Grip Straight Back Seated High Row;Kabelzug Untergriff Straight Back sitzend High Rudern;;mittel;5;back;cable
og-1320;Cable Rope Crossover Seated Row;Kabelzug Rope Crossover sitzend Rudern;;niedrig;5;back;cable
og-1321;Cable Rope Elevated Seated Row;Kabelzug Rope Elevated sitzend Rudern;;niedrig;5;back;cable
og-1322;Cable Rope Extension Incline Bench Row;Kabelzug Rope Strecken Schrägbank Bench Rudern;;mittel;5;back;cable
og-1323;Cable Rope Seated Row;Kabelzug Rope sitzend Rudern;;mittel;5;back;cable
og-0213;Cable Seated High Row (V-Bar);Kabelzug sitzend High Rudern (v-bar);;mittel;5;back;cable
og-1717;Cable Squat Row (With Rope Attachment);Kabelzug Kniebeuge Rudern ( mit Rope Attachment);;niedrig;5;back;cable
og-0234;Cable Standing Row (V-Bar);Kabelzug stehend Rudern (v-bar);;mittel;5;back;cable
og-0236;Cable Standing Twist Row (V-Bar);Kabelzug stehend Drehung Rudern (v-bar);;mittel;5;back;cable
og-0238;Cable Straight Arm Pulldown;Kabelzug Straight Arm Latzug;;niedrig;5;back;cable
og-0237;Cable Straight Arm Pulldown (With Rope);Kabelzug Straight Arm Latzug ( mit Rope);;niedrig;5;back;cable
og-0239;Cable Straight Back Seated Row;Kabelzug Straight Back sitzend Rudern;;niedrig;5;back;cable
og-2464;Cable Thibaudeau Kayak Row;Kabelzug Thibaudeau Kayak Rudern;;niedrig;5;back;cable
og-0245;Cable Underhand Pulldown;Kabelzug Underhand Latzug;;niedrig;5;back;cable
og-1324;Cable Upper Row;Kabelzug Upper Rudern;;mittel;5;back;cable
og-0248;Cambered Bar Lying Row;Cambered Bar liegend Rudern;;niedrig;5;back;barbell
og-1329;Dumbbell Palm Rotational Bent Over Row;Kurzhantel Palm Rotational Vorgebeugtes Rudern;;niedrig;5;back;dumbbell
og-1331;Dumbbell Reverse Grip Incline Bench Two Arm Row;Kurzhantel Untergriff Schrägbank Bench Two Arm Rudern;;mittel;5;back;dumbbell
og-2327;Dumbbell Reverse Grip Row (Female);Kurzhantel Untergriff Rudern (female);;mittel;5;back;dumbbell
og-3664;Dumbbell Side Plank With Rear Fly;Kurzhantel Side Unterarmstütz mit Rear Fliegende;;mittel;5;back;dumbbell
og-3200;Lever Bent-Over Row With V-Bar;Maschine Vorgebeugtes Rudern mit V-bar;;mittel;5;back;machine
og-0580;Lever Gripless Shrug;Maschine Gripless Schulterheben;;niedrig;5;back;machine
og-1439;Lever Gripless Shrug V. 2;Maschine Gripless Schulterheben V. 2;;niedrig;5;back;machine
og-0581;Lever High Row;Maschine High Rudern;;mittel;5;back;machine
og-0588;Lever Narrow Grip Seated Row;Maschine eng Grip sitzend Rudern;;mittel;5;back;machine
og-1356;Lever One Arm Lateral High Row;Maschine einarmig Lateral High Rudern;;niedrig;5;back;machine
og-1347;Lever One Arm Lateral Wide Pulldown;Maschine einarmig Lateral weit Latzug;;mittel;5;back;machine
og-2736;Lever Reverse Grip Lateral Pulldown;Maschine Untergriff Lateral Latzug;;mittel;5;back;machine
og-1348;Lever Reverse Grip Vertical Row;Maschine Untergriff Vertical Rudern;;mittel;5;back;machine
og-1349;Lever Reverse T-Bar Row;Maschine Reverse T-bar Rudern;;niedrig;5;back;machine
og-0606;Lever T Bar Row;Maschine T Bar Rudern;;mittel;5;back;machine
og-1351;Lever T-Bar Reverse Grip Row;Maschine T-bar Untergriff Rudern;;mittel;5;back;machine
og-1313;Lever Unilateral Row;Maschine Unilateral Rudern;;niedrig;5;back;machine
og-0746;Smith Back Shrug;Multipresse Back Schulterheben;;mittel;5;back;machine
og-0818;Twin Handle Parallel Grip Lat Pulldown;Twin Handle Parallel Grip Latzug;;niedrig;5;back;cable
og-0023;Barbell Alternate Biceps Curl;Langhantel alternierend Biceps Curl;;mittel;5;biceps;barbell
og-2407;Barbell Biceps Curl (With Arm Blaster);Langhantel Biceps Curl ( mit Arm Blaster);;niedrig;5;biceps;barbell
og-0038;Barbell Drag Curl;Langhantel Drag Curl;;mittel;5;biceps;barbell
og-1411;Barbell Palms Down Wrist Curl Over A Bench;Langhantel Palms Down Wrist Curl Over A Bench;;niedrig;5;biceps;barbell
og-1412;Barbell Palms Up Wrist Curl Over A Bench;Langhantel Palms Up Wrist Curl Over A Bench;;niedrig;5;biceps;barbell
og-0079;Barbell Revers Wrist Curl V. 2;Langhantel Revers Wrist Curl V. 2;;niedrig;5;biceps;barbell
og-0080;Barbell Reverse Curl;Langhantel Reverse Curl;;mittel;5;biceps;barbell
og-0081;Barbell Reverse Preacher Curl;Langhantel Reverse Scottcurl;;mittel;5;biceps;barbell
og-0082;Barbell Reverse Wrist Curl;Langhantel Reverse Wrist Curl;;niedrig;5;biceps;barbell
og-0104;Barbell Standing Back Wrist Curl;Langhantel stehend Back Wrist Curl;;mittel;5;biceps;barbell
og-1629;Barbell Standing Wide Grip Biceps Curl;Langhantel stehend Weiter Griff Biceps Curl;;mittel;5;biceps;barbell
og-0126;Barbell Wrist Curl;Langhantel Wrist Curl;;mittel;5;biceps;barbell
og-0125;Barbell Wrist Curl V. 2;Langhantel Wrist Curl V. 2;;mittel;5;biceps;barbell
og-1632;Cable Drag Curl;Kabelzug Drag Curl;;mittel;5;biceps;cable
og-0165;Cable Hammer Curl (With Rope);Kabelzug Hammercurl ( mit Rope);;mittel;5;biceps;cable
og-1634;Cable Lying Bicep Curl;Kabelzug liegend Bicep Curl;;mittel;5;biceps;cable
og-1635;Cable One Arm Reverse Preacher Curl;Kabelzug einarmig Reverse Scottcurl;;mittel;5;biceps;cable
og-1638;Cable Pulldown Bicep Curl;Kabelzug Latzug Bicep Curl;;mittel;5;biceps;cable
og-0206;Cable Reverse Curl;Kabelzug Reverse Curl;;niedrig;5;biceps;cable
og-1413;Cable Reverse One Arm Curl;Kabelzug Reverse einarmig Curl;;mittel;5;biceps;cable
og-0209;Cable Reverse Preacher Curl;Kabelzug Reverse Scottcurl;;mittel;5;biceps;cable
og-0210;Cable Reverse Wrist Curl;Kabelzug Reverse Wrist Curl;;niedrig;5;biceps;cable
og-1639;Cable Rope Hammer Preacher Curl;Kabelzug Rope Hammer Scottcurl;;mittel;5;biceps;cable
og-1640;Cable Rope One Arm Hammer Preacher Curl;Kabelzug Rope einarmig Hammer Scottcurl;;mittel;5;biceps;cable
og-1644;Cable Squatting Curl;Kabelzug Squatting Curl;;niedrig;5;biceps;cable
og-0224;Cable Standing Back Wrist Curl;Kabelzug stehend Back Wrist Curl;;mittel;5;biceps;cable
og-0229;Cable Standing Inner Curl;Kabelzug stehend Inner Curl;;mittel;5;biceps;cable
og-1645;Cable Two Arm Curl On Incline Bench;Kabelzug Two Arm Curl auf Schrägbank Bench;;mittel;5;biceps;cable
og-0247;Cable Wrist Curl;Kabelzug Wrist Curl;;mittel;5;biceps;cable
og-0285;Dumbbell Alternate Biceps Curl;Kurzhantel alternierend Biceps Curl;;mittel;5;biceps;dumbbell
og-2403;Dumbbell Alternate Biceps Curl (With Arm Blaster);Kurzhantel alternierend Biceps Curl ( mit Arm Blaster);;mittel;5;biceps;dumbbell
og-1646;Dumbbell Alternate Hammer Preacher Curl;Kurzhantel alternierend Hammer Scottcurl;;mittel;5;biceps;dumbbell
og-1651;Dumbbell Bicep Curl Lunge With Bowling Motion;Kurzhantel Bicep Curl Ausfallschritt mit Bowling Motion;;niedrig;5;biceps;dumbbell
og-1653;Dumbbell Bicep Curl With Stork Stance;Kurzhantel Bicep Curl mit Stork Stance;;niedrig;5;biceps;dumbbell
og-0294;Dumbbell Biceps Curl;Kurzhantel Biceps Curl;;mittel;5;biceps;dumbbell
og-2401;Dumbbell Biceps Curl (With Arm Blaster);Kurzhantel Biceps Curl ( mit Arm Blaster);;niedrig;5;biceps;dumbbell
og-1654;Dumbbell Biceps Curl Reverse;Kurzhantel Biceps Curl Reverse;;niedrig;5;biceps;dumbbell
og-1655;Dumbbell Biceps Curl Squat;Kurzhantel Biceps Curl Kniebeuge;;mittel;5;biceps;dumbbell
og-0298;Dumbbell Cross Body Hammer Curl;Kurzhantel Cross Body Hammercurl;;mittel;5;biceps;dumbbell
og-1657;Dumbbell Cross Body Hammer Curl V. 2;Kurzhantel Cross Body Hammercurl V. 2;;mittel;5;biceps;dumbbell
og-1664;Dumbbell High Curl;Kurzhantel High Curl;;mittel;5;biceps;dumbbell
og-0315;Dumbbell Incline Biceps Curl;Kurzhantel Schrägbank Biceps Curl;;mittel;5;biceps;dumbbell
og-0322;Dumbbell Incline Inner Biceps Curl;Kurzhantel Schrägbank Inner Biceps Curl;;mittel;5;biceps;dumbbell
og-1658;Dumbbell Lunge With Bicep Curl;Kurzhantel Ausfallschritt mit Bicep Curl;;mittel;5;biceps;dumbbell
og-1661;Dumbbell Lying Supine Biceps Curl;Kurzhantel liegend Rückenliegend Biceps Curl;;mittel;5;biceps;dumbbell
og-1663;Dumbbell One Arm Hammer Preacher Curl;Kurzhantel einarmig Hammer Scottcurl;;mittel;5;biceps;dumbbell
og-1414;Dumbbell One Arm Reverse Preacher Curl;Kurzhantel einarmig Reverse Scottcurl;;mittel;5;biceps;dumbbell
og-1667;Dumbbell One Arm Reverse Spider Curl;Kurzhantel einarmig Reverse Spider Curl;;niedrig;5;biceps;dumbbell
og-0358;Dumbbell One Arm Reverse Wrist Curl;Kurzhantel einarmig Reverse Wrist Curl;;mittel;5;biceps;dumbbell
